Data,Descricao,Categoria,Forma,Valor,Observacao
2026-09-09,Padaria,Comida,Credito,-37.47,
2026-09-09,Dumare Restaurante,Comida,Credito,-135.89,
2026-09-09,Pao de Acucar Mercado,Mercado,Credito,-37.14,
2026-09-09,The Best Acai,Comida,Credito,-29.77,
2026-09-10,Embaixada Carioca,Comida,Credito,-85.12,
2026-09-10,Bondinho Pao de Acucar,Passeio,Credito,-102.0,
2026-09-10,Samba Bus Rio,Passeio,Credito,-150.0,
2026-09-10,Padaria,Comida,Credito,-34.0,
2026-09-11,Moletom Skz Rock in Rio,Compras,Credito,-450.0,
2026-09-11,Lanche de Frango RIR,Comida,Credito,-38.0,
2026-09-11,Energetico RIR,Comida,Credito,-32.0,
2026-09-11,Cookies RIR,Comida,Credito,-18.0,
2026-09-11,Bebida Especial RIR (Schweppes),Comida,Credito,-26.0,
2026-09-12,MRM Barra Cafeteria,Comida,Pix,-51.8,
2026-09-12,2V Conveniencia,Comida,Pix,-45.8,
2026-09-12,Super Mercado Zona Sul,Mercado,Pix,-10.88,
2026-09-13,Boteco Rio's Ipanema,Comida,Pix,-81.7,
2026-09-13,Água fardo,Comida,Pix,-13.0,
2026-09-13,Lenita Alexandre Barbosa Ferreira - imãs,Compras,Pix,-25.0,
2026-09-13,Ricardo Adolfo Picco - brincos,Compras,Pix,-40.0,
2026-09-13,Milano Comercio Varejista Alimentos,Mercado,Pix,-31.95,
2026-09-14,Mercado,Mercado,Pix,-115.0,
2026-09-14,Uber,Transporte,Pix,-69.91,
2026-09-14,Ecobag,Compras,Pix,-15.0,
2026-09-14,Um dia de estadia,Hospedagem,Pix,-109.43,
2026-09-14,TBA Copacabana Ltda,Hospedagem,Pix,-73.54,
2026-09-14,UP Hotel Copacabana Posto 2,Hospedagem,Pix,-81.08,
2026-09-14,Dumare Bar e Restaurante,Comida,Pix,-135.48,
2026-09-14,Dulcinea Gonzaga Camillo - pulseira,Compras,Pix,-70.0,
