date,person,steps
2026-09-09,pessoa_1,8227
2026-09-10,pessoa_1,7652
2026-09-11,pessoa_1,8668
2026-09-12,pessoa_1,14703
2026-09-13,pessoa_1,3758
2026-09-14,pessoa_1,6420
2026-09-15,pessoa_1,4847
2026-09-09,pessoa_2,8090
2026-09-10,pessoa_2,8131
2026-09-11,pessoa_2,9292
2026-09-12,pessoa_2,16446
2026-09-13,pessoa_2,3879
2026-09-14,pessoa_2,4672
2026-09-15,pessoa_2,3134
2026-09-09,pessoa_3,9153
2026-09-10,pessoa_3,8050
2026-09-11,pessoa_3,12030
2026-09-12,pessoa_3,19855
2026-09-13,pessoa_3,4072
2026-09-14,pessoa_3,5708
2026-09-15,pessoa_3,3661
2026-09-09,pessoa_4,10932
2026-09-10,pessoa_4,8897
2026-09-11,pessoa_4,10246
2026-09-12,pessoa_4,17925
2026-09-13,pessoa_4,5091
2026-09-14,pessoa_4,7092
2026-09-15,pessoa_4,3960
